nbh_id,studio,one_room,two_room,three_room,four_room,sample_count
342678,1793.5,1651.0,1465.0,2600.0,4193.0,66
342685,1875.0,1721.0,1479.0,2862.0,4274.0,64
274643,1210.0,690.0,2067.0,1626.0,2378.0,41
275818,1032.5,811.0,2093.0,1601.0,2378.0,40
274645,855.0,925.0,2191.0,1547.5,2378.0,37
276644,1210.0,1497.5,2093.0,1601.0,2004.0,35
274314,1690.0,907.0,1957.5,1583.0,2518.0,36
403138,1742.5,2038.0,3021.0,4880.0,6620.5,459
403491,1944.0,2100.0,2423.0,4336.0,6933.0,300
121750,1900.0,2100.0,2247.0,4100.0,6571.5,266
403490,1894.5,2012.5,2442.0,4278.0,7768.5,258
403492,1936.0,2110.5,2828.5,4488.0,7090.5,239
