airbnb_id,nbh_id,host_id,lat,lon,city,state,night_price,cleaning_fee,nights_booked,rental_income,property_type,room_count,bed_count,max_capacity,star_rating,total_reviews,date_created,date_updated
27874695,273471,21421754,29.4076,-98.4771,San Antonio,TX,101.0,100,268,2256,House,2,4,6,5,305,2020-10-30,2020-10-30
27874758,273471,21491664,29.4314,-98.4732,San Antonio,TX,258.0,164,163,3505,House,4,4,10,5,115,2020-10-30,2020-10-30
27874742,273471,21712470,29.4076,-98.4883,San Antonio,TX,80.0,75,120,800,Apartment,3,4,7,5,99,2020-10-30,2020-10-30
27874735,273471,21801573,29.4161,-98.4878,San Antonio,TX,125.0,65,164,1708,Bungalow,3,4,8,5,205,2020-10-30,2020-10-30
27874766,273471,21945934,29.4144,-98.4869,San Antonio,TX,97.0,40,277,2239,Guesthouse,1,1,4,5,198,2020-10-30,2020-10-30
27874791,273471,21949311,29.4075,-98.493,San Antonio,TX,109.0,65,279,2534,Apartment,1,2,4,5,75,2020-10-30,2020-10-30
27874756,273471,22017396,29.4291,-98.4735,San Antonio,TX,60.0,40,135,675,Guest suite,1,1,3,5,146,2020-10-30,2020-10-30
27874696,273471,22030838,29.409,-98.4803,San Antonio,TX,345.0,125,97,2789,House,3,4,10,5,51,2020-10-30,2020-10-30
27874767,273471,22096721,29.4157,-98.4937,San Antonio,TX,75.0,60,211,1319,Guesthouse,1,1,2,5,193,2020-10-30,2020-10-30
27874783,273471,22161091,29.4324,-98.4748,San Antonio,TX,78.0,40,304,1976,Guesthouse,0,1,2,5,217,2020-10-30,2020-10-30
27874786,273471,22359181,29.4289,-98.4751,San Antonio,TX,95.0,50,111,879,Condominium,2,2,4,5,140,2020-10-30,2020-10-30
27874790,273471,22377658,29.4309,-98.4733,San Antonio,TX,72.0,90,233,1398,Guest suite,2,0,4,5,119,2020-10-30,2020-10-30
27874795,273471,22796540,29.4257,-98.4708,San Antonio,TX,293.0,164,200,4883,House,4,4,12,5,100,2020-10-30,2020-10-30
27874717,273471,22903286,29.4334,-98.4891,San Antonio,TX,66.0,129,261,1436,Apartment,1,1,2,5,40,2020-10-30,2020-10-30
27874787,273471,23305775,29.4287,-98.4699,San Antonio,TX,51.0,50,308,1309,Guest suite,0,1,2,5,178,2020-10-30,2020-10-30
27874716,273471,23357244,29.4328,-98.4711,San Antonio,TX,209.0,90,120,2280,House,3,5,10,5,56,2020-10-30,2020-10-30
27874699,273471,23508864,29.4202,-98.4913,San Antonio,TX,302.0,145,105,2643,House,3,3,8,5,54,2020-10-30,2020-10-30
27874710,273471,23521223,29.4165,-98.4747,San Antonio,TX,145.0,100,135,1631,House,3,6,9,5,72,2020-10-30,2020-10-30
27874713,273471,23632931,29.4315,-98.4714,San Antonio,TX,79.0,0,199,1310,Guesthouse,1,0,2,5,163,2020-10-30,2020-10-30
27874698,273471,23828399,29.4097,-98.4795,San Antonio,TX,82.0,35,66,451,Cottage,0,1,2,5,65,2020-10-30,2020-10-30
27874772,273471,23989181,29.4335,-98.4715,San Antonio,TX,170.0,149,133,1884,House,3,5,9,5,128,2020-10-30,2020-10-30
27872071,271352,11555442,29.4175,-98.496,San Antonio,TX,305.0,175,59,1800,House,5,3,8,5,8,2020-10-30,2020-10-30
27871754,271352,11654041,29.4165,-98.4858,San Antonio,TX,159.0,70,107,1547,Guesthouse,1,1,3,5,55,2020-10-30,2020-10-30
27871741,271352,13361985,29.4273,-98.4893,San Antonio,TX,119.0,25,93,922,Apartment,1,1,2,5,103,2020-10-30,2020-10-30
27871994,271352,13882643,29.4107,-98.4776,San Antonio,TX,54.0,75,201,905,Guesthouse,1,2,4,5,28,2020-10-30,2020-10-30
27871883,271352,13996317,29.4133,-98.4953,San Antonio,TX,104.0,50,243,2106,Apartment,1,1,2,5,190,2020-10-30,2020-10-30
27871981,271352,14519748,29.4167,-98.4704,San Antonio,TX,72.0,65,275,1650,House,2,4,6,5,145,2020-10-30,2020-10-30
27871816,271352,14717660,29.4321,-98.4759,San Antonio,TX,45.0,0,196,735,Apartment,1,1,2,5,12,2020-10-30,2020-10-30
27871945,271352,14883992,29.4164,-98.4744,San Antonio,TX,153.0,50,230,2933,House,3,5,9,5,305,2020-10-30,2020-10-30
27871938,271352,1570838,29.4174,-98.4698,San Antonio,TX,104.0,100,48,416,Villa,2,2,4,5,91,2020-10-30,2020-10-30
27871864,271352,1582570,29.4152,-98.4917,San Antonio,TX,166.0,80,81,1121,House,2,0,4,5,102,2020-10-30,2020-10-30
27871708,271352,15858293,29.416,-98.4984,San Antonio,TX,73.0,0,296,1801,Condominium,1,1,2,5,3,2020-10-30,2020-10-30
27871770,271352,16026007,29.4122,-98.4901,San Antonio,TX,198.0,100,128,2112,Bungalow,2,2,4,5,48,2020-10-30,2020-10-30
27871715,271352,16206873,29.4151,-98.4702,San Antonio,TX,150.0,10,22,275,House,3,3,5,4,33,2020-10-30,2020-10-30
27871901,271352,16417968,29.4393,-98.4914,San Antonio,TX,55.0,20,293,1343,House,1,1,2,5,152,2020-10-30,2020-10-30
27871917,271352,17007828,29.4159,-98.4753,San Antonio,TX,138.0,50,188,2162,House,3,5,10,5,273,2020-10-30,2020-10-30
27871744,271352,17209540,29.4142,-98.4928,San Antonio,TX,1335.0,120,64,7120,Guesthouse,8,8,16,5,10,2020-10-30,2020-10-30
27871747,271352,17387531,29.41,-98.4707,San Antonio,TX,97.0,50,195,1576,House,2,3,5,5,351,2020-10-30,2020-10-30
27871851,271352,17753538,29.409,-98.5013,San Antonio,TX,101.0,40,152,1279,House,2,3,4,5,178,2020-10-30,2020-10-30
27871696,271352,17764083,29.4172,-98.4754,San Antonio,TX,127.0,80,105,1212,House,3,3,4,5,83,2020-10-30,2020-10-30
27871800,271352,17766109,29.4228,-98.471,San Antonio,TX,91.0,35,321,2434,House,1,1,4,5,308,2020-10-30,2020-10-30
27871931,271352,1802005,29.4173,-98.4698,San Antonio,TX,129.0,100,35,376,Villa,3,3,6,5,154,2020-10-30,2020-10-30
27871725,271352,18124053,29.4154,-98.5003,San Antonio,TX,103.0,75,250,2146,Loft,1,1,2,5,13,2020-10-30,2020-10-30
27871913,271352,18234453,29.4386,-98.4923,San Antonio,TX,74.0,20,300,1850,House,1,1,4,5,132,2020-10-30,2020-10-30
27871892,271352,18234835,29.4378,-98.4923,San Antonio,TX,74.0,20,317,1955,House,1,1,4,5,144,2020-10-30,2020-10-30
27871970,271352,18591885,29.4377,-98.4868,San Antonio,TX,45.0,15,227,851,Apartment,0,1,2,5,285,2020-10-30,2020-10-30
27871738,271352,18746374,29.4268,-98.4883,San Antonio,TX,118.0,30,109,1072,Apartment,1,1,2,5,115,2020-10-30,2020-10-30
27871925,271352,18769530,29.4141,-98.4918,San Antonio,TX,89.0,40,64,475,Apartment,1,3,3,5,80,2020-10-30,2020-10-30
27871789,271352,18776621,29.4288,-98.472,San Antonio,TX,45.0,0,258,968,Apartment,1,1,2,5,14,2020-10-30,2020-10-30
27871847,271352,1883124,29.4174,-98.4698,San Antonio,TX,128.0,100,29,309,Villa,3,3,6,5,150,2020-10-30,2020-10-30
