info_id,nbh_id,bed_number,count,min,max,avg,rental_income,median_value,median_night_rate,median_occupancy
1510,417161,6,1,8170,8170,8170.0,8242.9166666667,8170.0,344,78
1511,417160,0,5,663,1971,1274.8,1497.1083333333,1265.0,51,75
1512,417160,1,15,176,1601,996.4666666667,1417.6194444444,987.0,72,55
1513,417160,2,11,684,2291,1401.4545454545,1816.4833333333,1357.0,93,57
1514,417160,3,3,2062,2211,2125.0,2361.4486111111,2102.0,89,76
1515,417160,4,3,1513,4976,3092.0,3137.9861111111,2787.0,170,58
1516,417160,5,1,7154,7154,7154.0,7410.9194444444,7154.0,234,100
1517,417160,6,1,7677,7677,7677.0,7718.2291666667,7677.0,321,78
1518,270895,0,49,601,3783,1911.4693877551,1951.3305555556,1775.0,97,59
1519,270895,1,148,623,5942,2721.722972973,2854.4520833333,2586.0,132,66
1520,270895,2,126,957,9604,4005.6111111111,3786.875,3596.0,190,63
1521,270895,3,22,2327,6514,4528.0454545455,3889.6579861111,4721.5,252,51
1522,270895,4,4,2829,5638,4563.25,5208.2965277778,4893.0,367,48
1523,270895,-1,1,1298,1298,1298.0,1376.9625,1298.0,119,36
1524,270842,0,69,804,3824,1906.2898550725,1917.2638888889,1800.0,95,59
1525,270842,1,103,366,6213,2874.0582524272,3120.1416666667,2711.0,138,69
1526,270842,2,78,1090,8225,3316.9102564103,3262.8972222222,3273.5,174,59
1527,270842,3,36,1689,7161,4229.5,3870.5208333333,3946.0,265,48
1528,270842,4,5,4306,9139,6502.8,5417.2083333333,5742.0,378,48
1529,270842,21,1,2695,2695,2695.0,2754.3305555556,2695.0,188,47
1530,270842,-1,3,780,1504,1126.3333333333,1025.0416666667,1095.0,94,33
1531,270953,0,62,831,4514,2021.6451612903,1880.7638888889,1848.5,106,53
1532,270953,1,89,795,5396,2605.8426966292,2569.6,2552.0,148,54
1533,270953,2,67,1163,6604,3146.3134328358,2848.0138888889,3088.0,195,47
1534,270953,3,24,1291,8624,4576.6666666667,4354.45,4273.5,323,45
1535,270953,4,2,2930,5128,4029.0,4044.0225694444,4029.0,303,45
1536,270953,5,2,6040,7788,6914.0,6761.8277777778,6914.0,436,52
1537,270953,21,1,2240,2240,2240.0,2256.3083333333,2240.0,188,39
1538,270953,-1,2,780,1429,1104.5,1217.4777777778,1104.5,86,42
1539,403221,0,16,145,2044,900.5625,895.1371527778,954.5,93,30
1540,403221,1,95,0,3763,1144.0421052632,1030.8208333333,1082.0,107,30
1541,403221,2,63,0,4563,1348.3968253968,1481.2916666667,1290.0,144,33
1542,403221,3,47,0,5102,1816.0425531915,1581.0583333333,1811.0,174,30
1543,403221,4,13,505,5337,2615.2307692308,2078.675,2338.0,266,27
1544,403221,5,4,2745,8833,5962.0,4965.4954861111,6135.0,376,45
1545,403221,6,2,1078,8428,4753.0,4058.0902777778,4753.0,213,61
1546,403221,7,1,10094,10094,10094.0,9864.125,10094.0,523,63
1547,403221,10,1,15072,15072,15072.0,14645.625,15072.0,785,63
1548,270946,0,47,0,4913,2107.2765957447,2128.5583333333,2173.0,112,57
1549,270946,1,95,0,5367,1967.5473684211,1931.5597222222,1770.0,137,44
1550,270946,2,57,101,8621,2899.8245614035,2444.4861111111,2607.0,183,43
1551,270946,3,25,845,8735,4754.6,4795.6944444444,4538.0,325,49
1552,270946,4,7,2652,8300,5765.4285714286,6325.45,5742.0,612,36
1553,270946,5,4,6371,33108,14383.5,8660.3347222222,9027.5,608,49
1554,270946,6,2,7286,21665,14475.5,12409.4423611111,14475.5,1521,30
1555,270946,21,1,2695,2695,2695.0,2754.3305555556,2695.0,188,47
1556,270946,-1,1,1504,1504,1504.0,1664.6027777778,1504.0,94,52
1557,270798,0,10,208,1385,953.2,1611.8805555556,1033.0,66,67
1558,270798,1,49,300,2206,1381.4693877551,1651.625,1411.0,73,63
1559,270798,2,60,0,4125,1430.5,1634.7944444444,1270.0,92,52
1560,270798,3,42,749,8027,2109.8095238095,2071.0708333333,1799.5,109,57
1561,270798,4,11,1183,5741,3249.2727272727,3355.9722222222,3503.0,203,53
1562,270798,5,4,3468,8461,5574.0,4853.4354166667,5183.5,349,47
1563,270798,6,4,2318,5109,3743.5,3367.4798611111,3773.5,231,48
1564,270798,7,3,5321,9586,7257.3333333333,5748.8513888889,6865.0,339,56
